50
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.032 0.039 0.036 0.038 0.039 0.038 0.040 0.040 0.043 0.042 0.042 0.000 0.039 0.043 0.054 0.000 0.046 0.054 0.000 0.000 0.052 0.000 0.052 0.000 0.056 0.058 0.000 0.051 0.000 0.060 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.060
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.039 0.000 0.044 0.046 0.046 0.046 0.048 0.048 0.000 0.050 0.000 0.050 0.000 0.000 0.065 0.057 0.000 0.065 0.000 0.067 0.000 0.000 0.062 0.000 0.000 0.000 0.000 0.000 0.000 0.072 0.000 0.000 0.000 0.000 0.000 0.000 0.072 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.036 0.044 0.041 0.043 0.044 0.043 0.045 0.000 0.049 0.047 0.047 0.047 0.000 0.000 0.000 0.000 0.051 0.000 0.000 0.000 0.059 0.068 0.000 0.000 0.000 0.065 0.063 0.057 0.000 0.000 0.065 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.037 0.045 0.042 0.044 0.000 0.044 0.000 0.000 0.051 0.049 0.049 0.000 0.000 0.051 0.000 0.056 0.000 0.000 0.000 0.065 0.000 0.000 0.000 0.059 0.000 0.000 0.065 0.000 0.067 0.000 0.067 0.065 0.000 0.000 0.000 0.000 0.000 0.070
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.039 0.046 0.044 0.000 0.046 0.046 0.048 0.000 0.000 0.050 0.000 0.000 0.000 0.052 0.000 0.000 0.055 0.000 0.000 0.000 0.000 0.000 0.000 0.061 0.000 0.000 0.067 0.000 0.000 0.072 0.069 0.067 0.000 0.072 0.000 0.000 0.072 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.036 0.044 0.041 0.043 0.044 0.000 0.045 0.045 0.049 0.000 0.047 0.000 0.044 0.000 0.061 0.000 0.051 0.061 0.051 0.000 0.000 0.068 0.000 0.000 0.063 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.065 0.000 0.000 0.000 0.000 0.068
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.089 0.107 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.149 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.039 0.046 0.000 0.046 0.046 0.046 0.048 0.048 0.052 0.000 0.000 0.000 0.046 0.000 0.000 0.057 0.000 0.000 0.000 0.000 0.000 0.072 0.000 0.000 0.000 0.000 0.000 0.061 0.069 0.000 0.000 0.000 0.000 0.072 0.069 0.000 0.072 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.047 0.056 0.052 0.055 0.056 0.000 0.000 0.000 0.000 0.060 0.000 0.000 0.000 0.063 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.087 0.000 0.000 0.000 0.084 0.000 0.073 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.063 0.076 0.071 0.075 0.000 0.000 0.000 0.000 0.000 0.000 0.082 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.102 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
